time,field_x,field_y,field_z
258626000000,1.0,-4.5,0.0
258674000000,0.5,-5.5,0.0
258726000000,-1.5,-7.5,0.0
258770000000,-2.5,-8.5,0.0
258811000000,-4.5,-9.5,0.0
258816000000,-4.5,-9.5,0.0
258817000000,-4.5,-9.5,0.0
258857000000,-5.5,-10.5,0.0
258896000000,-6.5,-11.0,0.0
258938000000,-7.5,-11.5,0.0
258975000000,-8.0,-12.5,0.0
259014000000,-9.5,-14.5,0.0
259061000000,-9.5,-15.0,0.0
259065000000,-9.5,-15.0,0.0
259094000000,-10.0,-15.5,0.0
259139000000,-10.0,-15.5,0.0
259173000000,-10.0,-15.5,0.0
259227000000,-10.0,-14.5,0.0
259267000000,-10.0,-14.0,0.0
259277000000,-10.0,-14.0,0.0
259283000000,-10.0,-14.0,0.0
259316000000,-9.5,-12.5,0.0
259343000000,-9.0,-11.5,0.0
259385000000,-8.5,-10.5,0.0
259424000000,-8.0,-10.0,0.0
259467000000,-7.5,-9.0,0.0
259512000000,-7.0,-6.5,0.0
259554000000,-7.0,-4.5,0.0
259561000000,-7.0,-4.5,0.0
259571000000,-7.0,-4.5,0.0
259596000000,-6.5,-3.0,0.0
259633000000,-6.5,-1.5,0.0
259669000000,-6.0,-0.5,0.0
259708000000,-6.0,0.5,0.0
259708000000,-6.0,0.5,0.0
259723000000,-6.0,1.5,0.0
259768000000,-6.0,2.0,0.0
259807000000,-6.0,2.0,0.0
259858000000,-6.0,1.5,0.0
259908000000,-6.0,1.0,0.0
259945000000,-6.5,-0.5,0.0
259959000000,-6.5,-0.5,0.0
259959000000,-6.5,-0.5,0.0
260016000000,-7.0,-2.5,0.0
260054000000,-7.0,-3.5,0.0
260096000000,-7.0,-4.5,0.0
260102000000,-7.0,-4.5,0.0
260112000000,-7.0,-5.5,0.0
260143000000,-7.0,-5.5,0.0
260193000000,-7.5,-7.5,0.0
260240000000,-8.0,-9.0,0.0
260285000000,-8.0,-9.5,0.0
260293000000,-8.0,-9.5,0.0
260327000000,-8.0,-10.0,0.0
260368000000,-8.0,-10.5,0.0
260413000000,-8.0,-11.0,0.0
260465000000,-8.0,-11.5,0.0
260468000000,-8.0,-11.5,0.0
260475000000,-8.0,-11.5,0.0
260501000000,-8.0,-12.0,0.0
260543000000,-8.0,-13.0,0.0
260588000000,-8.0,-13.5,0.0
260593000000,-8.0,-13.5,0.0
260603000000,-8.0,-13.5,0.0
260640000000,-8.0,-13.5,0.0
260680000000,-7.5,-13.0,0.0
260719000000,-7.5,-13.0,0.0
260766000000,-7.5,-12.0,0.0
260769000000,-7.5,-12.0,0.0
260786000000,-7.5,-11.5,0.0
260835000000,-7.5,-11.0,0.0
260869000000,-7.5,-10.0,0.0
260919000000,-7.5,-8.0,0.0
260957000000,-7.5,-6.5,0.0
260964000000,-7.5,-6.5,0.0
260969000000,-7.5,-6.5,0.0
261019000000,-7.5,-3.0,0.0
261069000000,-7.5,-1.5,0.0
261118000000,-7.5,1.0,0.0
261168000000,-7.5,2.0,0.0
261214000000,-8.0,3.0,0.0
261215000000,-8.0,3.0,0.0
261218000000,-8.0,3.0,0.0
261253000000,-8.0,3.0,0.0
261294000000,-8.0,2.5,0.0
261349000000,-8.0,1.5,0.0
261394000000,-8.0,1.0,0.0
261439000000,-8.0,0.0,0.0
261443000000,-8.0,-1.0,0.0
261455000000,-8.0,-1.0,0.0
261494000000,-8.0,-2.0,0.0
261537000000,-8.0,-3.0,0.0
261583000000,-8.0,-5.0,0.0
261639000000,-8.0,-6.0,0.0
261682000000,-8.0,-7.5,0.0
261725000000,-8.0,-8.0,0.0
261739000000,-8.0,-8.0,0.0
261743000000,-8.0,-8.0,0.0
261784000000,-8.0,-8.5,0.0
261836000000,-8.0,-9.0,0.0
261880000000,-8.0,-9.0,0.0
261882000000,-8.0,-9.0,0.0
261892000000,-8.0,-9.0,0.0
261938000000,-8.0,-9.0,0.0
261982000000,-8.0,-9.0,0.0
262023000000,-8.0,-8.5,0.0
262037000000,-8.0,-8.5,0.0
262041000000,-8.0,-8.5,0.0
262085000000,-8.0,-8.0,0.0
262136000000,-8.0,-7.0,0.0
262187000000,-8.0,-6.5,0.0
262219000000,-8.0,-6.0,0.0
262227000000,-8.0,-6.0,0.0
262235000000,-8.0,-6.0,0.0
262276000000,-8.0,-5.0,0.0
262316000000,-8.0,-5.0,0.0
262359000000,-8.0,-5.0,0.0
262412000000,-8.0,-5.0,0.0
262458000000,-8.0,-5.0,0.0
262465000000,-8.0,-5.0,0.0
262471000000,-8.0,-5.0,0.0
262509000000,-8.0,-5.0,0.0
262546000000,-8.0,-5.0,0.0
262595000000,-8.0,-5.0,0.0
262638000000,-8.0,-5.0,0.0
262642000000,-8.0,-5.0,0.0
262647000000,-8.5,-5.0,0.0
262700000000,-8.0,-5.0,0.0
262748000000,-8.5,-6.0,0.0
262795000000,-8.5,-6.0,0.0
262796000000,-8.5,-6.0,0.0
262803000000,-8.5,-6.0,0.0
262847000000,-8.5,-6.0,0.0
262897000000,-8.5,-6.5,0.0
262942000000,-8.5,-7.0,0.0
262987000000,-8.5,-7.0,0.0
262988000000,-8.5,-7.0,0.0
262993000000,-8.5,-7.0,0.0
263032000000,-8.5,-7.0,0.0
263073000000,-8.5,-7.0,0.0
263119000000,-8.5,-7.0,0.0
263121000000,-8.5,-7.0,0.0
263138000000,-8.5,-7.0,0.0
263165000000,-8.5,-7.0,0.0
263207000000,-9.0,-7.0,0.0
263248000000,-9.0,-7.0,0.0
263301000000,-9.0,-7.0,0.0
263343000000,-9.0,-7.0,0.0
263347000000,-9.0,-7.0,0.0
263351000000,-9.0,-6.5,0.0
263392000000,-9.0,-6.5,0.0
263442000000,-9.0,-6.5,0.0
263491000000,-9.0,-6.0,0.0
263543000000,-9.0,-6.0,0.0
263599000000,-9.0,-6.0,0.0
263602000000,-9.0,-6.0,0.0
263613000000,-9.0,-6.0,0.0
263644000000,-9.0,-6.0,0.0
263692000000,-9.0,-6.0,0.0
263730000000,-9.0,-6.0,0.0
263736000000,-9.0,-6.0,0.0
263740000000,-9.0,-6.0,0.0
263776000000,-9.0,-6.0,0.0
263823000000,-9.0,-6.0,0.0
263870000000,-9.0,-6.5,0.0
263877000000,-9.0,-6.5,0.0
263887000000,-9.0,-6.5,0.0
263924000000,-9.0,-6.5,0.0
263963000000,-9.0,-6.5,0.0
264022000000,-9.0,-6.5,0.0
264062000000,-9.0,-6.5,0.0
264074000000,-9.0,-6.5,0.0
264086000000,-9.0,-6.5,0.0
264125000000,-9.0,-6.5,0.0
264164000000,-9.0,-6.5,0.0
264208000000,-9.0,-7.0,0.0
264262000000,-9.5,-7.0,0.0
264298000000,-9.5,-7.0,0.0
264312000000,-9.5,-7.0,0.0
264322000000,-9.5,-7.0,0.0
264360000000,-9.5,-7.0,0.0
264402000000,-9.5,-7.0,0.0
264451000000,-9.5,-7.0,0.0
264503000000,-9.5,-7.0,0.0
264513000000,-9.5,-7.0,0.0
264521000000,-9.5,-7.0,0.0
264558000000,-9.5,-7.0,0.0
264611000000,-9.5,-7.0,0.0
264644000000,-9.5,-7.0,0.0
264659000000,-9.5,-7.0,0.0
264665000000,-9.5,-7.0,0.0
264700000000,-9.5,-7.0,0.0
264741000000,-9.5,-7.0,0.0
264790000000,-9.5,-7.0,0.0
264831000000,-9.5,-7.0,0.0
264872000000,-9.5,-7.0,0.0
264916000000,-9.5,-7.0,0.0
264917000000,-9.5,-7.0,0.0
264920000000,-9.5,-7.0,0.0
264960000000,-9.5,-7.0,0.0
264999000000,-9.5,-7.0,0.0
265048000000,-9.5,-7.0,0.0
265052000000,-9.5,-7.0,0.0
265065000000,-9.5,-7.0,0.0
265113000000,-9.5,-7.0,0.0
265155000000,-9.5,-7.0,0.0
265162000000,-9.5,-7.0,0.0
265172000000,-9.5,-7.0,0.0
265213000000,-9.5,-7.0,0.0
265256000000,-9.5,-7.5,0.0
265300000000,-9.5,-7.5,0.0
265346000000,-9.5,-7.5,0.0
265393000000,-9.5,-7.5,0.0
265441000000,-9.5,-7.5,0.0
265447000000,-9.5,-7.5,0.0
265451000000,-9.5,-7.5,0.0
265497000000,-9.5,-7.5,0.0
265547000000,-9.5,-7.5,0.0
265589000000,-10.0,-7.5,0.0
265594000000,-10.0,-7.5,0.0
265604000000,-10.0,-7.5,0.0
265642000000,-10.0,-7.5,0.0
265679000000,-10.0,-7.5,0.0
265687000000,-10.0,-7.5,0.0
265695000000,-10.0,-7.5,0.0
265729000000,-10.0,-7.5,0.0
265775000000,-10.5,-7.5,0.0
265819000000,-10.5,-7.5,0.0
265822000000,-10.5,-7.5,0.0
265833000000,-10.5,-7.5,0.0
265875000000,-10.5,-7.5,0.0
265925000000,-12.5,-7.5,0.0
265975000000,-13.5,-7.5,0.0
266019000000,-14.5,-7.5,0.0
266023000000,-14.5,-7.5,0.0
266036000000,-14.5,-7.5,0.0
266067000000,-15.5,-7.5,0.0
266112000000,-15.5,-7.5,0.0
266164000000,-15.5,-7.5,0.0
266204000000,-15.0,-7.5,0.0
266212000000,-15.0,-7.5,0.0
266255000000,-14.0,-7.5,0.0
266300000000,-13.5,-7.5,0.0
266348000000,-12.5,-7.5,0.0
266390000000,-11.0,-7.5,0.0
266424000000,-10.5,-7.5,0.0
266431000000,-10.5,-7.5,0.0
266442000000,-10.5,-7.5,0.0
266480000000,-8.5,-7.5,0.0
266523000000,-8.5,-7.5,0.0
266582000000,-7.0,-7.5,0.0
266621000000,-4.5,-7.5,0.0
266673000000,-3.0,-7.5,0.0
266726000000,-1.0,-7.5,0.0
266784000000,0.0,-7.5,0.0
266818000000,0.5,-7.5,0.0
266824000000,0.5,-7.5,0.0
266832000000,0.5,-7.5,0.0
266866000000,0.0,-7.5,0.0
266908000000,-0.5,-7.5,0.0
266949000000,-1.5,-7.5,0.0
266992000000,-2.5,-7.5,0.0
267039000000,-3.5,-7.5,0.0
267049000000,-3.5,-7.5,0.0
267052000000,-3.5,-7.5,0.0
267090000000,-5.5,-7.5,0.0
267136000000,-6.0,-7.5,0.0
267173000000,-7.0,-7.5,0.0
267218000000,-8.0,-7.5,0.0
267224000000,-9.0,-7.5,0.0
267238000000,-9.0,-7.5,0.0
267266000000,-9.5,-7.5,0.0
267322000000,-10.5,-7.5,0.0
267369000000,-11.0,-7.5,0.0
267413000000,-12.0,-7.5,0.0
267452000000,-13.5,-7.5,0.0
