%time,field.header.seq,field.header.stamp,field.header.frame_id,field.radiation_type,field.field_of_view,field.min_range,field.max_range,field_range
710599000000,7104,710600000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9914647936820984
710699000000,7105,710700000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9675864577293396
710801000000,7106,710800000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9752399921417236
710900000000,7107,710900000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9619553089141846
711000000000,7108,711000000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9614889025688171
711104000000,7109,711100000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9661347270011902
711200000000,7110,711200000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9592078328132629
711300000000,7111,711300000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9563612341880798
711400000000,7112,711400000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9730414152145386
711506000000,7113,711500000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9724348783493042
711600000000,7114,711600000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9864863157272339
711700000000,7115,711700000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9966987371444702
711800000000,7116,711800000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.993564784526825
711900000000,7117,711900000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9981263875961304
712000000000,7118,712000000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0002084970474243
712100000000,7119,712100000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9943452477455139
712200000000,7120,712200000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.002090573310852
712300000000,7121,712300000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.010128378868103
712400000000,7122,712400000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0017410516738892
712500000000,7123,712500000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0057003498077393
712600000000,7124,712600000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9923565983772278
712701000000,7125,712700000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,1.0137351751327515
712800000000,7126,712800000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.997373104095459
712900000000,7127,712900000000,sonar_link,0,0.6981319785118103,0.029999999329447746,3.0,0.9807348251342773
